0.33926	-0.45983	0.60143	0.22768	-0.53283	0.69728	-0.67435	-0.49645	0.93357	-0.70996	0.80218	-0.67746	-1.6741	1.3939	-0.72271	-2.2516	1.3538	-0.16152	0	0	-38.5944	11.627	7.9565	-138.4897	-8.6568	84.7	-0.42041
0.9455	-0.87653	0.49827	1.1424	-0.34417	-0.23552	0.68323	0.042708	-0.41786	0.064968	-0.22887	0.44091	-0.043154	-0.51064	1.0444	-0.74706	-0.53145	1.5285	20.8793	-60.727	-15.9511	71.509	-103.644	-19.0793	64.0834	-63.212	0.88645
-0.017108	0.01586	-0.0090156	-1.0595	0.3192	0.21843	-3.7402	-0.23379	2.2875	0.56138	-0.03301	-0.92982	0.86114	1.3969	-3.7396	0.53601	3.4704	-6.0807	-0.16143	0.4318	-0.16123	-0.41566	0.77745	-0.90694	-0.51099	1.0758	0.022739
-0.15329	-0.41379	0.17261	-0.19453	-1.0075	-1.3958	-0.31834	-1.9195	-3.6875	-1.8903	-2.5364	0.45516	-1.5875	-4.5283	-4.4288	-0.76042	-3.2809	-6.148	0	0	-13.7454	-42.2127	-21.6149	-17.5663	-98.0313	-165.7187	0.25542
2.7338	0.95237	-3.5122	1.1764	3.6128	1.8499	0.25057	1.3983	2.3638	1.3189	1.3892	-0.87704	0.97094	2.2931	1.1724	0.25044	0.7761	0.54111	34.5275	2.331	-15.7418	-9.0587	79.6649	-6.7059	-23.7314	2.295	1.027
-0.033709	-0.011743	0.043308	-0.35846	-1.1009	-0.56369	-0.44266	-2.4703	-4.176	-0.50568	0.23374	1.463	-0.84351	-1.2639	1.3301	-0.60467	-1.8791	-1.3318	-0.37195	0.018348	-0.14286	-0.84877	-1.3145	-0.30733	-1.858	-3.5836	0.034613
-0.044055	-0.094882	-0.1098	-0.0056086	-0.039684	-0.12524	-0.00040283	-0.0047931	-0.024633	-0.10529	-0.43715	-1.0668	-0.0047543	-0.03348	-0.13602	-0.00012244	-0.0012126	-0.0068482	0	0	-0.73904	-5.103	-15.556	-0.050782	-0.60197	-3.0792	0.030625
2.3561	4.2371	2.9829	0.054513	0.37641	1.1474	0.00062429	0.0074003	0.037854	0.038896	0.16023	0.38669	0.0013863	0.0096777	0.038894	1.3208e-005	0.0001279	0.00070321	11.2906	38.9617	-1.1936	-7.5511	-19.9424	-0.027339	-0.31113	-1.5084	0.065696
-0.0038192	-0.0068683	-0.0048352	-0.015862	-0.10953	-0.33388	-0.0010849	-0.01286	-0.065781	-0.056269	-0.21432	-0.45605	-0.0045947	-0.031057	-0.11963	-0.00017123	-0.0016511	-0.0090302	0.018454	-0.03001	-0.0041504	-0.029616	-0.094547	-0.00038613	-0.0045951	-0.02362	0.0018884
0.67853	-0.91966	1.2029	-1.3508	0.40695	0.27848	-1.5118	1.7227	-1.16	-1.8525	2.0932	-1.7677	0	0	0	2.9376	-1.7662	0.21072	0	0	-77.1887	23.254	15.913	0	0	0	-0.84082
1.6778	-1.5554	0.88417	0	0	0	-2.4248	-0.15157	1.483	-1.348	0.90128	0.22933	-2.9108	2.4237	-1.2566	1.4941	1.0629	-3.0571	20.8793	-60.727	0	0	0	38.1586	-128.1668	126.4239	0
-0.034216	0.03172	-0.018031	-2.0364	0.61349	0.41982	0.049449	0.003091	-0.030243	1.068	-0.028071	-1.8536	0	0	0	-0.47393	-3.4322	5.9634	-0.32286	0.8636	-1.3508	0.40695	0.27848	-0.58139	1.7809	-1.729	0.045479
-0.30659	-0.82757	0.34522	-0.37166	-1.1414	-0.58444	-0.22377	-0.67715	0.62602	-3.9136	-5.2512	0.94233	0	0	0	0.78715	3.3962	6.3641	0	0	-27.4907	-84.4255	-43.2298	0	0	0	0.51084
3.5915	1.2512	-4.6142	0	0	0	-0.65838	-3.6742	-6.211	0.82601	-0.41371	-2.4367	-0.79036	-2.2545	-2.2049	-0.50088	-1.5522	-1.0822	34.5275	2.331	0	0	0	13.4119	47.4627	-4.59	0
-0.067419	-0.023487	0.086616	-0.6589	-2.0235	-1.0361	0.012359	0.06897	0.11659	-0.958	0.46212	2.8001	0	0	0	0.57702	1.7905	1.2582	-0.74391	0.036696	-0.37166	-1.1414	-0.58444	-0.2678	-0.92282	0.21071	0.069226
-0.08811	-0.18976	-0.21959	-0.0096224	-0.066442	-0.20254	-0.00010493	-0.0011721	-0.0055347	-0.20152	-0.83664	-2.0418	0	0	0	0.00011717	0.0011604	0.0065533	0	0	-1.4781	-10.2061	-31.1121	0	0	0	0.06125
2.4389	4.3861	3.0877	0	0	0	-0.0012925	-0.015321	-0.078371	0.021791	0.085457	0.19115	-0.0015516	-0.010926	-0.044391	-2.6416e-005	-0.00025581	-0.0014064	11.2906	38.9617	0	0	0	0.054678	0.62226	3.0168	0
-0.0076384	-0.013737	-0.0096703	-0.031371	-0.21661	-0.66032	4.0479e-006	4.7983e-005	0.00024544	-0.11145	-0.42436	-0.9024	0	0	0	0.00017001	0.0016392	0.0089649	0.036908	-0.06002	-0.0096224	-0.066442	-0.20254	-0.00017173	-0.0019639	-0.0095848	0.0037768
0.33926	-0.45983	0.60143	-1.5785	0.93978	-0.41879	4.1729	-0.19346	-2.031	-1.1426	1.291	-1.0903	2.6942	-2.2433	1.1631	-3.6236	2.1787	-0.25993	0	0	-38.5944	11.627	7.9565	138.4897	8.6568	-84.7	-0.42041
